상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
크린토피아,코인워시가산동주민센터점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 가산동 143-20,126.8903319,37.47724162
크린토피아,코인워시상도스위트점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 상도동 351-5,126.9333394,37.50193903
크린토피아,코인워시자곡더미라클점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 자곡동 634,127.095364,37.47196107
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 강동구 천호동 453-24,127.1275302,37.53882738
파코인터내셔날,,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,서울특별시 금천구 가산동 459-29,126.8779685,37.4829276
토탈데코인테리어,,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,서울특별시 동대문구 전농동 295-124,127.0574266,37.57598849
코인이앤씨,,부동산,분양,건물분양-종합,,서울특별시 강남구 개포동 1219-5,127.0493158,37.47652835
코인빌AS센터,,생활서비스,개인/가정용품수리,개인/가정용품수리-종합,그외 기타 개인 및 가정용품 수리업,서울특별시 강서구 화곡동 891-13,126.849933,37.52901655
코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 종로구 명륜4가 188-4,126.9985041,37.58248637
코인노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 광진구 화양동 47-10,127.0685352,37.54214317
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 봉천동 1613-1,126.9556297,37.4784766
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 봉천동 1633-19,126.9641276,37.47552387
슈퍼스타코인노래여습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 봉천동 1598-18,126.9525627,37.47869274
코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 광진구 화양동 48-21,127.0669565,37.5416982
코인노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 동대문구 전농동 150,127.0545252,37.58340792
에코인테리어,,소매,가정/주방/인테리어,지물판매,벽지 및 장판류 소매업,서울특별시 동대문구 이문동 225-2,127.0644282,37.60542723
코인스탬프,,소매,사무/문구/컴퓨터,사무/문구용품,문구용품 소매업,서울특별시 동대문구 이문동 64,127.0687564,37.60074
중앙24시코인세탁,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1523-1,126.9344649,37.4704755
코인노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 서초구 반포동 817,126.986167,37.50113376
코인위시왕십리텐즈힐,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 하왕십리동 1066,127.0264842,37.56917777
피봇코인트코렌,,학문/교육,학원-창업취업취미,학원-피부미용,기타 기술 및 직업훈련학원,서울특별시 서초구 방배동 905-4,126.9958888,37.48458335
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 광진구 화양동 498-1,127.0757027,37.54636235
플러스코인엘까치산점,까치산점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 926-1,126.842714,37.52907217
코코인쇄편의점,,생활서비스,광고/인쇄,인쇄종합,기타 인쇄업,서울특별시 양천구 신월동 505-3,126.848899,37.52342004
중앙데코인,,소매,가정/주방/인테리어,유리/페인트/철물건축자재,"페인트, 유리 및 기타 건설자재 소매업",서울특별시 광진구 중곡동 19-1,127.0838948,37.56124847
토요코인서울동대문,,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,서울특별시 중구 광희동2가 73,127.008941,37.56469778
룰라코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 강동구 명일동 47-17,127.1554519,37.55331211
데코인테리어씽크,,소매,가정/주방/인테리어,주방가구판매,가구 소매업,서울특별시 관악구 봉천동 922-1,126.9446606,37.48183917
데코인,,소매,가정/주방/인테리어,유리/페인트/철물건축자재,"페인트, 유리 및 기타 건설자재 소매업",서울특별시 마포구 대흥동 804,126.9410627,37.54925029
데코인테리어,,소매,가정/주방/인테리어,지물판매,벽지 및 장판류 소매업,서울특별시 서대문구 창천동 33-46,126.9364605,37.55774178
골든싱어코인노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 서초구 방배동 909-4,126.9966352,37.4820397
금호코인,,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,서울특별시 성동구 금호동3가 1300,127.0183782,37.54853978
파스코인터내셔날,,소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,서울특별시 마포구 도화동 173,126.9478042,37.54224639
코인,,음식,양식,정통양식/경양식,서양식 음식점업,서울특별시 중구 을지로2가 199-53,126.9841581,37.56505479
