광역시도,행정구역,주소,shortName,x,y,유치원_정원_수,유치원_보육교직원_수,유치원_보육실_수,놀이터_수,유치원_CCTV설치_수,스쿨버스_운영비율,0~7세 인구수
인천광역시,중구,인천광역시 중구,인천중구,1,7,41.95959596,8.606060606,0,0,7.262626263,0.363636364,8622
전라남도,강진군,전라남도 강진군,강진,1,22,72.33333333,9.4,5.666666667,0,1,1,1590
전라남도,고흥군,전라남도 고흥군,고흥,3,22,73.38095238,8.238095238,5.142857143,0,1,0.952380952,2116
전라남도,곡성군,전라남도 곡성군,곡성,3,18,66.18181818,10.06060606,6.575757576,0.666666667,5.848484848,1,1038
전라남도,광양시,전라남도 광양시,광양,5,20,58.67272727,9.752727273,6.00729927,0,1,0.796363636,11549
전라남도,구례군,전라남도 구례군,구례,4,18,66.55555556,10,5.611111111,0.388888889,4.333333333,0.833333333,1010
전라남도,나주시,전라남도 나주시,나주,1,20,51.53488372,8.360465116,5.813953488,0,1,0.651162791,8570
전라남도,담양군,전라남도 담양군,담양,2,18,63.71428571,9.464285714,5.785714286,0.464285714,4.785714286,0.892857143,1993
전라남도,목포시,전라남도 목포시,목포,0,20,57.18097448,8.828306265,5.394431555,0.261168385,3.911832947,0.709976798,16247
전라남도,무안군,전라남도 무안군,무안,1,19,48.45,7.808333333,4.391666667,0.5,2.516666667,0.775,5788
전라남도,보성군,전라남도 보성군,보성,3,21,71,9.115384615,5.653846154,0.461538462,3.576923077,0.961538462,1701
전라남도,순천시,전라남도 순천시,순천,4,20,44.56969697,7.765656566,4.929292929,0.268686869,3.394736842,0.654545455,18997
전라남도,신안군,전라남도 신안군,신안,0,19,60.77777778,7.37037037,4.333333333,0.444444444,5.62962963,0.962962963,1460
전라남도,여수시,전라남도 여수시,여수,4,21,67.0397351,10.90066225,6.887417219,0,1,0.761589404,17908
전라남도,영광군,전라남도 영광군,영광,1,17,97.84210526,11.57894737,7.868421053,0.552631579,5.631578947,0.921052632,2963
전라남도,영암군,전라남도 영암군,영암,1,21,62.95238095,8.607142857,5.071428571,0.345238095,5.202380952,0.833333333,3241
전라남도,완도군,전라남도 완도군,완도,2,23,51.53061224,8.93877551,5.040816327,0.510204082,4.653061224,0.897959184,2750
전라남도,장성군,전라남도 장성군,장성,2,17,74.14285714,11.28571429,7.214285714,0,1,0.857142857,2615
전라남도,장흥군,전라남도 장흥군,장흥,2,22,52.4,8.6,4.914285714,0.457142857,3.657142857,0.885714286,1664
전라남도,진도군,전라남도 진도군,진도,0,22,59.76923077,8.653846154,5.307692308,0.307692308,2.076923077,0.846153846,1449
전라남도,함평군,전라남도 함평군,함평,1,18,69.80769231,7.923076923,5.346153846,0.346153846,5.192307692,0.923076923,1263
전라남도,해남군,전라남도 해남군,해남,0,21,75.125,10.41666667,6.541666667,0,1,0.958333333,3729
전라남도,화순군,전라남도 화순군,화순,4,19,42.74107143,6.258928571,4.0625,0.1875,3.892857143,0.723214286,2915
전라북도,고창군,전라북도 고창군,고창,1,16,57.02,9.1,5.3,0.86,4.82,1,2304
전라북도,군산시,전라북도 군산시,군산,2,14,49.47222222,8.544871795,5.134615385,0.602564103,6.051282051,0.914529915,18454
전라북도,김제시,전라북도 김제시,김제,3,15,47.07407407,8.037037037,4.814814815,0.592592593,3.740740741,0.944444444,3846
전라북도,남원시,전라북도 남원시,남원,5,17,50.03053435,8.549618321,4.709923664,0.801526718,5.954198473,0.900763359,4206
전라북도,무주군,전라북도 무주군,무주,5,15,63.54545455,8.590909091,5.454545455,0.863636364,5.818181818,0.909090909,1024
전라북도,부안군,전라북도 부안군,부안,2,15,53.31481481,7.351851852,4.925925926,1,3.740740741,0.962962963,2226
전라북도,순창군,전라북도 순창군,순창,3,17,55.5,7.769230769,4.961538462,1.076923077,8.153846154,1,1427
전라북도,완주군,전라북도 완주군,완주,4,15,50.58441558,8.168831169,5.090909091,0.597402597,4.577922078,0.909090909,6497
전라북도,익산시,전라북도 익산시,익산,3,14,46.30897704,7.736951983,4.87473904,0.498956159,4.736951983,0.887265136,17258
전라북도,임실군,전라북도 임실군,임실,4,17,66.61904762,8.476190476,5.952380952,1.238095238,1.19047619,0.952380952,1246
전라북도,장수군,전라북도 장수군,장수,5,16,77.14285714,10.92857143,7.142857143,1.285714286,11.14285714,0.857142857,1006
전라북도,전주시,전라북도 전주시,전주,3,16,42.45300814,7.024255599,15.55381313,0.429473413,4.776769892,0.419548904,44062
전라북도,정읍시,전라북도 정읍시,정읍,2,16,49.03184713,8.675159236,5.095541401,1.048275862,2.184713376,0.878980892,5541
전라북도,진안군,전라북도 진안군,진안,4,16,62.26666667,7.8,4.933333333,1.133333333,6.333333333,1,1164
제주특별자치도,서귀포시,제주특별자치도 서귀포시,서귀포,4,25,62.5,10.43333333,5.491666667,0.733333333,8.408333333,0.9,11798
제주특별자치도,제주시,제주특별자치도 제주시,제주,4,24,57.20153061,11.2244898,5.209183673,0.591836735,7.826530612,0.880102041,37693
충청남도,계룡시,충청남도 계룡시,계룡,4,12,37.82608696,7.423913043,4.282608696,0.260869565,6.652173913,0.934782609,3376
충청남도,공주시,충청남도 공주시,공주,4,10,43.24203822,7.566878981,4.308641975,0.49382716,6.259259259,0.802547771,4905
충청남도,금산군,충청남도 금산군,금산,3,13,48.68181818,7.484848485,5.272727273,0.818181818,7.696969697,0.954545455,2212
충청남도,논산시,충청남도 논산시,논산,3,12,54.09497207,9.195530726,4.703296703,0.582417582,7.461538462,0.94972067,6228
충청남도,당진시,충청남도 당진시,당진,2,9,59.01333333,10.32333333,5.073333333,0.36,8.013422819,0.706666667,13687
충청남도,보령시,충청남도 보령시,보령,2,11,51.95238095,9.952380952,4.80952381,0.571428571,7.492063492,0.785714286,5203
충청남도,부여군,충청남도 부여군,부여,2,12,62.27272727,8.581818182,5.035714286,1,8.107142857,0.963636364,2537
충청남도,서산시,충청남도 서산시,서산,1,10,50.96644295,8.795302013,5.006711409,0.389261745,7.154362416,0.77852349,13009
